Block Size (KB),Throughput (MiB/s),Time (ms),
4096,1536,202000,
4096,1531.06,202500,
4096,1480,203000,
4096,1523.05,203500,
4096,1528,204000,
4096,1474.95,204500,
4096,1512,205000,
4096,1528,205501,
4096,1474.95,206000,
4096,1504,206500,
4096,1531.06,207000,
4096,1488,207500,
4096,1482.97,208000,
4096,1552,208500,
4096,1490.98,209000,
4096,1496,209500,
4096,1544,210001,
4096,1507.01,210500,
4096,1482.97,211000,
4096,1544,211500,
4096,1523.05,212000,
4096,1472,212500,
4096,1523.05,213000,
4096,1528,213500,
4096,1458.92,214000,
4096,1528,214500,
4096,1523.05,215000,
4096,1464,215500,
4096,1515.03,216000,
4096,1536,216500,
4096,1474.95,217000,
4096,1504,217500,
4096,1539.08,218000,
4096,1488,218501,
4096,1490.98,219000,
4096,1552,219500,
4096,1499,220000,
4096,1496,220500,
4096,1539.08,221000,
4096,1528,221500,
4096,1472,222001,
4096,1539.08,222500,
4096,1536,223000,
4096,1482.97,223500,
4096,1512,224000,
4096,1536,224501,
4096,1466.93,225000,
4096,1472,225501,
4096,1539.08,226000,
4096,1458.92,226500,
4096,1504,227000,
4096,1547.09,227500,
4096,1480,228000,
4096,1499,228500,
4096,1528,229000,
4096,1496,229501,
4096,1482.97,230000,
4096,1552,230500,
4096,1490.98,231000,
4096,1504,231500,
4096,1539.08,232000,
4096,1520,232500,
4096,1474.95,233000,
4096,1528,233500,
4096,1539.08,234000,
4096,1480,234500,
4096,1523.05,235000,
4096,1512,235500,
4096,1466.93,236000,
4096,1512,236500,
4096,1520,237001,
4096,1458.92,237500,
4096,1512,238000,
4096,1544,238501,
4096,1474.95,239000,
4096,1504,239500,
4096,1536,240000,
4096,1482.97,240500,
4096,1472,241001,
4096,1547.09,241500,
4096,1496,242000,
4096,1488,242500,
4096,1539.08,243000,
4096,1520,243500,
4096,1472,244000,
4096,1547.09,244500,
4096,1528,245000,
4096,1482.97,245500,
4096,1512,246000,
4096,1544,246501,
4096,1466.93,247000,
4096,1512,247501,
4096,1539.08,248000,
4096,1466.93,248500,
4096,1488,249000,
4096,1539.08,249500,
4096,1472,250000,
4096,1499,250500,
4096,1536,251000,
4096,1482.97,251500,
4096,1488,252000,
4096,1544,252500,
4096,1504,253001,
4096,1474.95,253500,
4096,1552,254001,
