Block Size (KB),Throughput (MiB/s),Time (ms),
4096,3200,27000,
4096,3360,27050,
4096,3280,27100,
4096,3280,27150,
4096,3360,27200,
4096,3280,27250,
4096,3120,27300,
4096,3200,27350,
4096,3183.67,27400,
4096,3280,27450,
4096,3120,27500,
4096,3280,27550,
4096,3120,27600,
4096,3280,27650,
4096,3200,27700,
4096,3200,27750,
4096,3280,27800,
4096,3120,27850,
4096,3183.67,27900,
4096,3200,27950,
4096,3280,28000,
4096,3200,28050,
4096,3120,28100,
4096,3280,28150,
4096,3120,28200,
4096,3280,28250,
4096,3280,28300,
4096,3200,28351,
4096,3265.31,28400,
4096,3360,28450,
4096,3280,28500,
4096,3360,28550,
4096,3280,28600,
4096,3360,28650,
4096,3280,28700,
4096,3360,28750,
4096,3360,28800,
4096,3280,28851,
4096,3346.94,28900,
4096,3280,28950,
4096,3280,29000,
4096,3360,29050,
4096,3280,29100,
4096,3360,29150,
4096,3280,29200,
4096,3360,29250,
4096,3200,29300,
4096,3360,29350,
4096,3102.04,29400,
4096,3200,29450,
4096,3200,29500,
4096,3200,29550,
4096,3360,29600,
4096,3360,29650,
4096,3200,29700,
4096,3360,29751,
4096,3428.57,29800,
4096,3120,29850,
4096,3280,29900,
4096,3360,29950,
4096,3280,30000,
4096,3440,30050,
4096,3440,30100,
4096,3360,30150,
4096,3440,30200,
4096,3360,30250,
4096,3360,30300,
4096,3440,30350,
4096,3360,30400,
4096,3440,30451,
4096,3102.04,30500,
4096,3520,30550,
4096,3360,30600,
4096,3440,30650,
4096,3360,30700,
4096,3200,30750,
4096,3200,30800,
4096,3120,30850,
4096,3120,30900,
4096,3200,30950,
4096,3280,31000,
4096,3200,31051,
4096,3183.67,31100,
4096,3120,31150,
4096,3200,31200,
4096,3280,31250,
4096,3200,31300,
4096,3200,31350,
4096,3120,31401,
4096,3183.67,31450,
4096,3280,31500,
4096,3200,31550,
4096,3120,31600,
4096,3200,31650,
4096,3120,31700,
4096,3280,31750,
4096,3120,31800,
4096,3200,31851,
4096,3265.31,31900,
4096,3200,31950,
4096,3280,32000,
4096,3280,32050,
4096,3280,32100,
4096,3360,32150,
4096,3280,32200,
4096,3360,32250,
4096,3280,32301,
4096,3346.94,32350,
4096,3360,32400,
4096,3280,32450,
4096,3360,32500,
4096,3280,32550,
4096,3360,32600,
4096,3280,32650,
4096,3360,32700,
4096,3280,32750,
4096,3360,32801,
4096,3346.94,32850,
4096,3280,32900,
4096,3280,32950,
4096,3360,33000,
4096,3200,33050,
4096,3360,33100,
4096,3280,33150,
4096,3360,33200,
4096,3280,33250,
4096,3360,33300,
4096,3280,33350,
4096,3346.94,33400,
4096,3280,33450,
4096,3360,33500,
4096,3280,33550,
4096,3360,33600,
4096,3280,33650,
4096,3360,33700,
4096,3280,33750,
4096,3360,33800,
4096,3280,33850,
4096,3346.94,33900,
4096,3360,33950,
4096,3280,34000,
4096,3280,34050,
4096,3200,34100,
4096,3360,34150,
4096,3280,34200,
4096,3360,34250,
4096,3280,34300,
4096,3360,34350,
4096,3280,34400,
4096,3360,34450,
4096,3280,34500,
4096,3360,34550,
4096,3280,34600,
4096,3360,34650,
4096,3280,34700,
4096,3360,34750,
4096,3280,34800,
4096,3360,34850,
4096,3265.31,34900,
4096,3360,34950,
4096,3280,35000,
4096,3280,35050,
4096,3280,35100,
4096,3280,35150,
4096,3040,35200,
4096,3280,35250,
4096,3040,35300,
4096,3280,35350,
4096,3200,35400,
4096,3120,35450,
4096,3280,35500,
4096,3200,35551,
4096,3265.31,35600,
4096,3200,35650,
4096,3120,35700,
4096,3120,35750,
4096,3120,35800,
4096,3280,35850,
4096,3120,35900,
4096,3200,35950,
4096,3200,36000,
4096,3200,36050,
4096,3200,36101,
4096,3183.67,36150,
4096,3200,36200,
4096,3280,36250,
4096,3040,36300,
4096,3200,36350,
4096,3440,36400,
4096,3360,36450,
4096,3280,36500,
4096,3360,36550,
4096,3280,36601,
4096,3346.94,36650,
4096,3360,36700,
4096,3280,36750,
4096,3280,36800,
4096,3360,36850,
4096,3280,36900,
4096,3360,36950,
4096,3360,37000,
4096,3280,37050,
4096,3360,37100,
4096,3265.31,37150,
4096,3360,37200,
4096,3120,37250,
4096,3200,37300,
4096,3200,37350,
4096,3040,37400,
4096,3280,37450,
4096,3120,37501,
4096,3183.67,37550,
4096,3280,37600,
4096,3200,37650,
4096,3200,37700,
4096,3280,37750,
4096,3120,37800,
4096,3280,37850,
4096,3200,37900,
4096,3200,37951,
4096,3265.31,38000,
4096,3200,38050,
4096,3280,38100,
4096,3200,38150,
4096,3280,38200,
4096,3200,38250,
4096,3200,38300,
4096,3120,38350,
4096,3200,38400,
4096,3040,38450,
4096,3040,38501,
4096,3265.31,38550,
